"","postcode","suburb","Year","OffenceDivision","OffenceSubdivision","OffenceSubgroup","IncidentsRecorded","lat","lon"
"145718",3350,"BALLARAT",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",606,-37.563318,143.863715
"145737",3350,"BALLARAT",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",248,-37.563318,143.863715
"145743",3350,"BALLARAT",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",68,-37.563318,143.863715
"145760",3350,"BALLARAT",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",112,-37.563318,143.863715
"145777",3350,"BALLARAT",2013,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.563318,143.863715
"145779",3350,"BALLARAT",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",112,-37.563318,143.863715
"145784",3350,"BALLARAT",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",337,-37.563318,143.863715
"145787",3350,"BALLARAT",2008,"C Drug offences","C30 Drug use and possession","C31 Drug use",601,-37.563318,143.863715
"145807",3350,"BALLARAT",2009,"C Drug offences","C30 Drug use and possession","C31 Drug use",601,-37.563318,143.863715
"145808",3350,"BALLARAT",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",549,-37.563318,143.863715
"145809",3350,"BALLARAT",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",46,-37.563318,143.863715
"145817",3350,"BALLARAT",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",564,-37.563318,143.863715
"145818",3350,"BALLARAT",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",478,-37.563318,143.863715
"145841",3350,"BALLARAT",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.563318,143.863715
"145852",3350,"BALLARAT",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-37.563318,143.863715
"145867",3350,"BALLARAT",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",549,-37.563318,143.863715
"145871",3350,"BALLARAT",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",57,-37.563318,143.863715
"145923",3350,"BALLARAT",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",641,-37.563318,143.863715
"145935",3350,"BALLARAT",2011,"C Drug offences","C30 Drug use and possession","C31 Drug use",601,-37.563318,143.863715
"145937",3350,"BALLARAT",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",123,-37.563318,143.863715
"145946",3350,"BALLARAT",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",79,-37.563318,143.863715
"145950",3350,"BALLARAT",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",35,-37.563318,143.863715
"145951",3350,"BALLARAT",2015,"C Drug offences","C90 Other drug offences","C99 Other drug offences",1,-37.563318,143.863715
"145963",3350,"BALLARAT",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",145,-37.563318,143.863715
"145965",3350,"BALLARAT",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",638,-37.563318,143.863715
"145971",3350,"BALLARAT",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",270,-37.563318,143.863715
"145984",3350,"BALLARAT",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",145,-37.563318,143.863715
"146003",3350,"BALLARAT",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",469,-37.563318,143.863715
"146008",3350,"BALLARAT",2012,"C Drug offences","C30 Drug use and possession","C31 Drug use",35,-37.563318,143.863715
"146018",3350,"BALLARAT",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",237,-37.563318,143.863715
"146027",3350,"BALLARAT CENTRAL",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.563039,143.855405
"146043",3350,"BALLARAT CENTRAL",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",380,-37.563039,143.855405
"146059",3350,"BALLARAT CENTRAL",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.563039,143.855405
"146098",3350,"BALLARAT EAST",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.565618,143.886657
"146138",3350,"BALLARAT WEST",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.563608,143.862054
"146161",3350,"BROWN HILL",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.552458,143.902041
"146216",3350,"GOLDEN POINT",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.57075,143.864955
"146260",3350,"GOLDEN POINT",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.57075,143.864955
"146265",3350,"GOLDEN POINT",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.57075,143.864955
"146273",3350,"GOLDEN POINT",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.57075,143.864955
"146380",3350,"LAKE WENDOUREE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.549965,143.849441
"146383",3350,"LAKE WENDOUREE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.549965,143.849441
"146434",3350,"MOUNT CLEAR",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",478,-37.603114,143.868659
"146441",3350,"MOUNT CLEAR",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.603114,143.868659
"146459",3350,"MOUNT CLEAR",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.603114,143.868659
"146491",3350,"MOUNT CLEAR",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.603114,143.868659
"146500",3350,"MOUNT CLEAR",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-37.603114,143.868659
"146508",3350,"MOUNT CLEAR",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.603114,143.868659
"146523",3350,"MOUNT CLEAR",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.603114,143.868659
"146534",3350,"MOUNT CLEAR",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.603114,143.868659
"146551",3350,"MOUNT CLEAR",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.603114,143.868659
"146552",3350,"MOUNT CLEAR",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.603114,143.868659
"146557",3350,"MOUNT CLEAR",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-37.603114,143.868659
"146578",3350,"MOUNT CLEAR",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.603114,143.868659
"146600",3350,"MOUNT CLEAR",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.603114,143.868659
"146629",3350,"MOUNT CLEAR",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.603114,143.868659
"146641",3350,"MOUNT CLEAR",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.603114,143.868659
"146665",3350,"MOUNT HELEN",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.628466,143.880285
"146670",3350,"MOUNT HELEN",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.628466,143.880285
"146685",3350,"MOUNT HELEN",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628466,143.880285
"146699",3350,"MOUNT HELEN",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628466,143.880285
"146701",3350,"MOUNT HELEN",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628466,143.880285
"146703",3350,"MOUNT HELEN",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.628466,143.880285
"146709",3350,"MOUNT HELEN",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.628466,143.880285
"146750",3350,"MOUNT HELEN",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628466,143.880285
"146770",3350,"MOUNT HELEN",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",380,-37.628466,143.880285
"146777",3350,"MOUNT HELEN",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628466,143.880285
"146806",3350,"MOUNT PLEASANT",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.581598,143.852739
"146833",3350,"NERRINA",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.53748,143.890253
"146852",3350,"NERRINA",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.53748,143.890253
"146885",3350,"NERRINA",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.53748,143.890253
"146912",3350,"NERRINA",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.53748,143.890253
"146928",3350,"NERRINA",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.53748,143.890253
"146938",3350,"NERRINA",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.53748,143.890253
"146962",3350,"NEWINGTON",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.567867,143.793037
"146968",3350,"NEWINGTON",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.567867,143.793037
"146980",3350,"NEWINGTON",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.567867,143.793037
"146996",3350,"NEWINGTON",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.567867,143.793037
"147011",3350,"NEWINGTON",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.567867,143.793037
"147016",3350,"REDAN",2013,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.572707,143.839859
"147028",3350,"REDAN",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",478,-37.572707,143.839859
"147034",3350,"REDAN",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.572707,143.839859
"147043",3350,"REDAN",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.572707,143.839859
"147044",3350,"REDAN",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.572707,143.839859
"147057",3350,"REDAN",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",549,-37.572707,143.839859
"147075",3350,"REDAN",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.572707,143.839859
"147077",3350,"REDAN",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.572707,143.839859
"147081",3350,"REDAN",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.572707,143.839859
"147105",3350,"REDAN",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.572707,143.839859
"147111",3350,"REDAN",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.572707,143.839859
"147136",3350,"REDAN",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",601,-37.572707,143.839859
"147177",3350,"REDAN",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.572707,143.839859
"147193",3350,"REDAN",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.572707,143.839859
"147205",3350,"REDAN",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.572707,143.839859
"147236",3350,"REDAN",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.572707,143.839859
"147278",3350,"SOLDIERS HILL",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.551158,143.859744
"147350",3351,"CAPE CLEAR",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.786818,143.612778
"147382",3351,"CAPE CLEAR",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.786818,143.612778
"147384",3351,"CARNGHAM",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.576056,143.578864
"147450",3351,"HADDON",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.592314,143.719153
"147455",3351,"HADDON",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.592314,143.719153
"147462",3351,"HADDON",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.592314,143.719153
"147481",3351,"HADDON",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.592314,143.719153
"147490",3351,"HADDON",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.592314,143.719153
"147520",3351,"HADDON",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.592314,143.719153
"147534",3351,"HADDON",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.592314,143.719153
"147546",3351,"HAPPY VALLEY",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.719294,143.609858
"147620",3351,"LAKE BOLAC",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.712432,142.839797
"147628",3351,"LAKE BOLAC",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.712432,142.839797
"147629",3351,"LAKE BOLAC",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.712432,142.839797
"147657",3351,"LAKE BOLAC",2010,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.712432,142.839797
"147677",3351,"MININERA",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",601,-37.604862,142.959773
"147681",3351,"MOUNT EMU",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.596868,143.416319
"147684",3351,"NERRIN NERRIN",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.770863,143.017363
"147686",3351,"NERRIN NERRIN",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.770863,143.017363
"147687",3351,"NERRIN NERRIN",2008,"C Drug offences","C10 Drug dealing and trafficking","C11 Drug dealing",1,-37.770863,143.017363
"147751",3351,"ROSS CREEK",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628507,143.767332
"147753",3351,"ROSS CREEK",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.628507,143.767332
"147789",3351,"ROSS CREEK",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.628507,143.767332
"147804",3351,"ROSS CREEK",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.628507,143.767332
"147835",3351,"ROSS CREEK",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.628507,143.767332
"147886",3351,"SCARSDALE",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.668421,143.654685
"147888",3351,"SCARSDALE",2016,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.668421,143.654685
"147895",3351,"SCARSDALE",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.668421,143.654685
"147919",3351,"SCARSDALE",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.668421,143.654685
"147947",3351,"SMYTHES CREEK",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.596827,143.768269
"147950",3351,"SMYTHES CREEK",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.596827,143.768269
"147961",3351,"SMYTHES CREEK",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.596827,143.768269
"148014",3351,"SMYTHES CREEK",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.596827,143.768269
"148119",3351,"SMYTHESDALE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.646169,143.683223
"148140",3351,"SMYTHESDALE",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.646169,143.683223
"148171",3351,"SNAKE VALLEY",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.612093,143.584543
"148172",3351,"SNAKE VALLEY",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.612093,143.584543
"148177",3351,"SNAKE VALLEY",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.612093,143.584543
"148213",3351,"SNAKE VALLEY",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.612093,143.584543
"148218",3351,"SNAKE VALLEY",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.612093,143.584543
"148229",3351,"SNAKE VALLEY",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.612093,143.584543
"148231",3351,"SNAKE VALLEY",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.612093,143.584543
"148243",3351,"SNAKE VALLEY",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.612093,143.584543
"148253",3351,"SNAKE VALLEY",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.612093,143.584543
"148255",3351,"SNAKE VALLEY",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.612093,143.584543
"148264",3351,"SNAKE VALLEY",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.612093,143.584543
"148295",3351,"STAFFORDSHIRE REEF",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.752956,143.700798
"148440",3352,"BUNGAREE",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.558902,143.99726
"148450",3352,"BUNGAREE",2009,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.558902,143.99726
"148459",3352,"BUNGAREE",2017,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.558902,143.99726
"148461",3352,"BUNGAREE",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C23 Possess drug manufacturing equipment or precursor",1,-37.558902,143.99726
"148481",3352,"BUNGAREE",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",123,-37.558902,143.99726
"148507",3352,"BUNKERS HILL",2012,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.576871,143.745113
"148510",3352,"BUNKERS HILL",2012,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.576871,143.745113
"148546",3352,"BURRUMBEET",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.473098,143.656645
"148549",3352,"BURRUMBEET",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.473098,143.656645
"148590",3352,"BURRUMBEET",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.473098,143.656645
"148599",3352,"CAMBRIAN HILL",2011,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.62525,143.832618
"148608",3352,"CAMBRIAN HILL",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.62525,143.832618
"148609",3352,"CAMBRIAN HILL",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.62525,143.832618
"148629",3352,"CAMBRIAN HILL",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.62525,143.832618
"148632",3352,"CAMBRIAN HILL",2014,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.62525,143.832618
"148650",3352,"CARDIGAN VILLAGE",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.524031,143.741734
"148656",3352,"CARDIGAN VILLAGE",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.524031,143.741734
"148741",3352,"CLARENDON",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.690352,143.977725
"148755",3352,"CLARENDON",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.690352,143.977725
"148783",3352,"CLARKES HILL",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.495739,143.973782
"148845",3352,"DEREEL",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.813488,143.749864
"148889",3352,"DEREEL",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.813488,143.749864
"148903",3352,"DUNNSTOWN",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.590632,143.977119
"148966",3352,"DURHAM LEAD",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.697654,143.87785
"148980",3352,"DURHAM LEAD",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.697654,143.87785
"149044",3352,"ENFIELD",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.745523,143.773881
"149059",3352,"ENFIELD",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.745523,143.773881
"149133",3352,"INVERMAY",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.520241,143.897158
"149163",3352,"INVERMAY",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.520241,143.897158
"149174",3352,"INVERMAY",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.520241,143.897158
"149178",3352,"INVERMAY",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.520241,143.897158
"149179",3352,"INVERMAY",2013,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.520241,143.897158
"149202",3352,"INVERMAY",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.520241,143.897158
"149208",3352,"INVERMAY",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.520241,143.897158
"149268",3352,"LAL LAL",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.692331,144.040895
"149300",3352,"LEARMONTH",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.420343,143.713222
"149315",3352,"LEARMONTH",2011,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.420343,143.713222
"149402",3352,"LEXTON",2016,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.275704,143.513453
"149411",3352,"LEXTON",2015,"C Drug offences","C30 Drug use and possession","C31 Drug use",270,-37.275704,143.513453
"149417",3352,"LEXTON",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.275704,143.513453
"149425",3352,"LEXTON",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",380,-37.275704,143.513453
"149428",3352,"LEXTON",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.275704,143.513453
"149430",3352,"LEXTON",2013,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.275704,143.513453
"149433",3352,"LEXTON",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.275704,143.513453
"149448",3352,"LEXTON",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",549,-37.275704,143.513453
"149464",3352,"LEXTON",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.275704,143.513453
"149474",3352,"LEXTON",2014,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.275704,143.513453
"149486",3352,"MAGPIE",2017,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.617962,143.847038
"149585",3352,"MINERS REST",2014,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.484449,143.802353
"149598",3352,"MINERS REST",2017,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.484449,143.802353
"149607",3352,"MINERS REST",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.484449,143.802353
"149652",3352,"MINERS REST",2013,"C Drug offences","C30 Drug use and possession","C31 Drug use",1,-37.484449,143.802353
"149656",3352,"MINERS REST",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.484449,143.802353
"149690",3352,"MINERS REST",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.484449,143.802353
"149697",3352,"MINERS REST",2015,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.484449,143.802353
"149704",3352,"MINERS REST",2016,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.484449,143.802353
"149738",3352,"MINERS REST",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.484449,143.802353
"149751",3352,"MOLLONGGHIP",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.47511,144.038392
"149776",3352,"MOUNT MERCER",2016,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.80564,143.9091
"149817",3352,"MOUNT ROWAN",2015,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.505408,143.845131
"149871",3352,"NAPOLEONS",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.67641,143.829065
"149964",3352,"NAVIGATORS",2012,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.624897,143.950671
"149972",3352,"NAVIGATORS",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.624897,143.950671
"150053",3352,"WALLACE",2008,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.555477,144.047668
"150065",3352,"WALLACE",2008,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.555477,144.047668
"150089",3352,"WALLACE",2009,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.555477,144.047668
"150092",3352,"WARRENHEIP",2009,"C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",1,-37.574854,143.92573
"150101",3352,"WARRENHEIP",2017,"C Drug offences","C30 Drug use and possession","C32 Drug possession",270,-37.574854,143.92573
"150107",3352,"WARRENHEIP",2015,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.574854,143.92573
"150114",3352,"WARRENHEIP",2008,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",270,-37.574854,143.92573
"150120",3352,"WARRENHEIP",2011,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",145,-37.574854,143.92573
"150124",3352,"WARRENHEIP",2010,"C Drug offences","C10 Drug dealing and trafficking","C12 Drug trafficking",1,-37.574854,143.92573
"150131",3352,"WARRENHEIP",2014,"C Drug offences","C30 Drug use and possession","C32 Drug possession",1,-37.574854,143.92573
"150139",3352,"WARRENHEIP",2010,"C Drug offences","C30 Drug use and possession","C32 Drug possession",145,-37.574854,143.92573
